timestamp,batch_id,time_min,moisture_raw,red,green,blue,moisture_status,color_status,final_status,readiness_score
2026-05-11 05:08:38,BATCH_001,755,516,9665,9605,9538,PASS,PASS,PASS,100
2026-05-11 05:08:49,BATCH_001,760,515,9593,9607,9618,PASS,PASS,PASS,100
2026-05-11 05:09:01,BATCH_001,765,515,9546,9568,9516,PASS,PASS,PASS,100
2026-05-11 05:09:13,BATCH_001,770,515,9604,9550,9569,PASS,PASS,PASS,100
2026-05-11 05:09:24,BATCH_001,775,515,9556,9561,9588,PASS,PASS,PASS,100
2026-05-11 05:09:36,BATCH_001,780,516,10008,9999,10014,PASS,PASS,PASS,100
2026-05-11 05:09:47,BATCH_001,785,516,9994,10030,10014,PASS,PASS,PASS,100
2026-05-11 05:09:59,BATCH_001,790,516,10011,9986,10004,PASS,PASS,PASS,100
2026-05-11 05:10:10,BATCH_001,795,516,10014,9982,10001,PASS,PASS,PASS,100
2026-05-11 05:10:22,BATCH_001,800,516,9740,9712,9725,PASS,PASS,PASS,100
2026-05-11 05:10:34,BATCH_001,805,516,9590,9600,9608,PASS,PASS,PASS,100
2026-05-11 05:10:45,BATCH_001,810,514,9750,9724,9753,PASS,PASS,PASS,100
2026-05-11 05:10:57,BATCH_001,815,516,9840,9813,9846,PASS,PASS,PASS,100
2026-05-11 05:11:08,BATCH_001,820,516,9783,9780,9779,PASS,PASS,PASS,100
2026-05-11 05:11:19,BATCH_001,825,516,9853,9829,9858,PASS,PASS,PASS,100
2026-05-11 05:11:31,BATCH_001,830,516,9868,9866,9862,PASS,PASS,PASS,100
2026-05-11 05:11:42,BATCH_001,835,516,9883,9880,9875,PASS,PASS,PASS,100
2026-05-11 05:11:54,BATCH_001,840,516,9879,9873,9895,PASS,PASS,PASS,100
2026-05-11 05:12:10,BATCH_001,845,516,9854,9891,9869,PASS,PASS,PASS,100
2026-05-11 05:12:21,BATCH_001,850,516,9915,9899,9915,PASS,PASS,PASS,100
2026-05-11 05:12:33,BATCH_001,855,516,9913,9894,9933,PASS,PASS,PASS,100
2026-05-11 05:12:44,BATCH_001,860,516,9935,9939,9924,PASS,PASS,PASS,100
2026-05-11 05:12:56,BATCH_001,865,516,9950,9944,9928,PASS,PASS,PASS,100
2026-05-11 05:13:07,BATCH_001,870,516,9932,9949,9918,PASS,PASS,PASS,100
2026-05-11 05:13:19,BATCH_001,875,516,9995,10000,9962,PASS,PASS,PASS,100
2026-05-11 05:13:31,BATCH_001,880,516,9945,9958,9967,PASS,PASS,PASS,100
2026-05-11 05:13:43,BATCH_001,885,516,9957,9971,9998,PASS,PASS,PASS,100
2026-05-11 05:13:56,BATCH_001,890,517,9953,9960,9957,PASS,PASS,PASS,100
2026-05-11 05:14:07,BATCH_001,895,517,9959,9986,9973,PASS,PASS,PASS,100
2026-05-11 05:14:19,BATCH_001,900,516,9970,9951,9924,PASS,PASS,PASS,100
2026-05-11 05:14:30,BATCH_001,905,516,9939,9928,9962,PASS,PASS,PASS,100
2026-05-11 05:14:41,BATCH_001,910,516,9976,9984,9985,PASS,PASS,PASS,100
2026-05-11 05:14:53,BATCH_001,915,516,9998,9984,9972,PASS,PASS,PASS,100
2026-05-11 05:15:04,BATCH_001,920,516,9989,9989,9964,PASS,PASS,PASS,100
2026-05-11 05:15:16,BATCH_001,925,515,10176,10188,10156,PASS,PASS,PASS,100
2026-05-11 05:15:27,BATCH_001,930,516,10155,10178,10183,PASS,PASS,PASS,100
2026-05-11 05:15:38,BATCH_001,935,516,10223,10209,10154,PASS,PASS,PASS,100
2026-05-11 05:15:50,BATCH_001,940,516,10189,10167,10156,PASS,PASS,PASS,100
2026-05-11 05:16:01,BATCH_001,945,515,9954,9977,10009,PASS,PASS,PASS,100
2026-05-11 05:16:12,BATCH_001,950,515,9888,9890,9937,PASS,PASS,PASS,100
2026-05-11 05:16:19,BATCH_001,955,515,9895,9881,9882,PASS,PASS,PASS,100
2026-05-11 05:16:31,BATCH_001,960,515,9850,9852,9846,PASS,PASS,PASS,100
2026-05-11 05:16:42,BATCH_001,965,515,9829,9806,9792,PASS,PASS,PASS,100
2026-05-11 05:16:54,BATCH_001,970,516,9832,9802,9826,PASS,PASS,PASS,100
2026-05-11 05:17:06,BATCH_001,975,516,9816,9820,9820,PASS,PASS,PASS,100
2026-05-11 05:17:17,BATCH_001,980,515,9857,9843,9807,PASS,PASS,PASS,100
2026-05-11 05:17:29,BATCH_001,985,515,9809,9821,9852,PASS,PASS,PASS,100
2026-05-11 05:17:40,BATCH_001,990,515,9783,9745,9782,PASS,PASS,PASS,100
2026-05-11 05:17:52,BATCH_001,995,515,9751,9772,9753,PASS,PASS,PASS,100
2026-05-11 05:18:03,BATCH_001,1000,515,9772,9775,9775,PASS,PASS,PASS,100
2026-05-11 05:18:15,BATCH_001,1005,515,9767,9767,9792,PASS,PASS,PASS,100
2026-05-11 05:18:26,BATCH_001,1010,515,9775,9788,9811,PASS,PASS,PASS,100
2026-05-11 05:18:38,BATCH_001,1015,515,9850,9830,9862,PASS,PASS,PASS,100
2026-05-11 05:18:49,BATCH_001,1020,515,9817,9824,9799,PASS,PASS,PASS,100
2026-05-11 05:19:01,BATCH_001,1025,515,9902,9901,9919,PASS,PASS,PASS,100
2026-05-11 05:19:12,BATCH_001,1030,516,9837,9880,9816,PASS,PASS,PASS,100
2026-05-11 05:19:24,BATCH_001,1035,516,9922,9908,9899,PASS,PASS,PASS,100
2026-05-11 05:19:35,BATCH_001,1040,516,9536,9561,9583,PASS,PASS,PASS,100
2026-05-11 05:19:47,BATCH_001,1045,516,9913,9923,9869,PASS,PASS,PASS,100
2026-05-11 05:19:58,BATCH_001,1050,516,9765,9781,9737,PASS,PASS,PASS,100
2026-05-11 05:20:10,BATCH_001,1055,516,9810,9800,9825,PASS,PASS,PASS,100
2026-05-11 05:20:21,BATCH_001,1060,516,9785,9790,9772,PASS,PASS,PASS,100
2026-05-11 05:20:33,BATCH_001,1065,516,9802,9785,9805,PASS,PASS,PASS,100
2026-05-11 05:20:44,BATCH_001,1070,516,9824,9816,9820,PASS,PASS,PASS,100
2026-05-11 05:20:56,BATCH_001,1075,516,9814,9814,9791,PASS,PASS,PASS,100
2026-05-11 05:21:07,BATCH_001,1080,516,9792,9800,9799,PASS,PASS,PASS,100
2026-05-11 05:21:19,BATCH_001,1085,516,9823,9790,9812,PASS,PASS,PASS,100
2026-05-11 05:21:31,BATCH_001,1090,516,9820,9829,9815,PASS,PASS,PASS,100
2026-05-11 05:21:44,BATCH_001,1095,516,9833,9826,9819,PASS,PASS,PASS,100
2026-05-11 05:21:56,BATCH_001,1100,516,9817,9805,9809,PASS,PASS,PASS,100
2026-05-11 05:22:10,BATCH_001,1105,516,9813,9787,9821,PASS,PASS,PASS,100
2026-05-11 05:22:25,BATCH_001,1110,515,9779,9771,9782,PASS,PASS,PASS,100
2026-05-11 05:22:39,BATCH_001,1115,516,9779,9748,9767,PASS,PASS,PASS,100
